"name","Engine","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller "," ","Fuel","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weight and Capacities","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Do Not Exceed Speed ","Perforance","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"","Engine","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller "," ","Fuel","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weight and Capacities","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Do Not Exceed Speed ","Perforance","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller "," ","Fuel","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weight and Capacities","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Do Not Exceed Speed ","Perforance","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1997-2007 172R (Skyhawk) ","  ","Lyc. IO-360-L2A ","4 ","360 cu. in ","160 ","Fuel-injected ","Fixed Pitch ","  ","  ","56 gallons ","100 ","About 8.6 gallons ","  ","2,450 lbs. ","2,100 lbs. ","1,600 lbs. ","857 lbs. ","507 lbs. ","120 lbs. ","8 quarts ","  ","160 KCAS ","126 KCAS ","51 KCAS ","47 KCAS ","720 FPM ","14.1 lbs./sq. ft. ","15.3 lbs./hp ","13,500 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1959 Cessna 175 
(Skylark) ","  ","Cont. GO-300-A ","6 ","300 cu. in. ","175 ","Carbureted ","Constant Speed ","  ","  ","52 gallons 
Long Range Tanks: N/A ","80 ","11 gallons ","  ","2,350 lbs. ","N/A ","1,386  lbs. ","964 ","N/A ","115 lbs. ","10 quarts ","  ","153 Knots ","122 Knots ","54 Knots ","46 Knots ","850 FPM ","14.4 lbs./sq. ft. ","13.4 lbs./hp ","17,800 ft ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1962 Cessna 175 (Skylark) ","  ","Cont. GO-300-E ","6 ","300 cu. in. ","175 ","Carbureted ","Constant Speed ","  ","  ","52 gallons 
Long Range Tanks: N/A ","80 ","Unknown ","  ","2,450 lbs ","N/A ","1,410 lbs. ","1,040 lbs. ","N/A ","120 lbs. ","10 quarts ","  ","153 Knots ","122 Knots ","56 Knots ","48 Knots ","950 FPM ","14.1 lbs./sq. ft. ","14 lbs./hp ","17,800 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1968 Cessna 177 
(Cardinal) ","  ","Lyc. O-320-E2D ","4 ","320 cu. in. ","150 ","Carbureted ","Fixed Pitch ","  ","  ","40 gallons 
Long Range Tanks: N/A ","80 ","Unknown ","  ","2,350 lbs. ","2,200 lbs. ","1,340 lbs. ","1,010 lbs. ","860 lbs. ","120 lbs. ","8 quarts ","  ","160 KCAS ","125 KCAS ","56 KCAS ","46 KCAS ","670 FPM ","13.6 lbs./sq. ft. ","13.4 lbs./hp ","12,700 ft ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1974 Cessna 177RG 
(Cardinal RG) ","  ","Lyc. IO-360-A1B6D ","4 ","360 cu. in. ","200 ","Fuel Injected ","Constant Speed ","  ","  ","61 gallons 
Long range tanks: N/A ","100 ","10.8 gallons ","  ","2,800 lbs. ","N/A ","1,665 lbs. ","1,135 lbs. ","N/A ","120 lbs. ","9 quarts ","  ","169 KCAS ","139 KCAS ","57 KCAS ","50 KCAS ","925 FPM ","16.1 lbs./sq. ft. ","14 lbs./hp ","17,100 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1976 Cessna 177B 
(Cardinal) ","  ","Lyc. O-360-A1F6D ","4 ","361 cu. in. ","180 ","Carbureted ","Constant Speed ","  ","  ","50 gallons 
Long Range Tanks: 61 gallons ","100 ","10 gallons ","  ","2,500 lbs. ","2,200 lbs. ","1,533 lbs. ","967 lbs. ","667 lbs. ","120 lbs. ","9 quarts ","  ","161 KCAS ","134 KCAS ","55 KCAS ","46 KCAS ","840 FPM ","14.4 lbs./sq. ft. ","13.9 lbs./hp ","14,600 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1953 Cessna 180 ","  ","Cont. O-470-A ","6 ","470 cu. in. ","225 ","Carbureted ","Constant Speed ","  ","  ","60 gallons 
Long Range Tanks: N/A ","80 ","Unknown ","  ","2,550 lbs. ","N/A ","1,520  lbs. ","1,030 lbs. ","N/A ","120 lbs. ","12 quarts ","  ","160 Knots ","139 Knots ","52 Knots ","48 Knots ","1150 FPM ","14.6 lbs./sq. ft. ","11.3 lbs./hp ","20,000 ft ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1973 Cessna 180J (Skywagon) ","  ","Cont. O-470-R ","6 ","470 cu. in. ","230 ","Carbureted ","Constant Speed ","  ","  ","61 gallons 
Long range tanks: 84 gallons ","80 ","Unknown ","  ","2,800 lbs. ","N/A ","1,560 lbs. ","1,240 lbs. ","N/A ","120 lbs. ","12 quarts. ","  ","169 Knots ","139 Knots ","53 Knots ","43 Knots ","1090 FPM ","16.1 lbs./sq. ft. ","12.2 lbs./hp ","19,600 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1981 Cessna 180K (Skywagon ","  ","Cont. O-470-U ","6 ","470 cu. in. ","230 ","Carbureted ","Constant Speed ","  ","  ","88 gallons 
Long Range Tanks: N/A ","100 ","Unknown ","  ","2,810 lbs. ","N/A ","1,650 lbs. ","1,160 lbs. ","N/A ","170 lbs. ","12 quarts. ","  ","169 Knots ","139 Knots ","53 Knots ","48 Knots ","1100 FPM ","16.1 lbs./sq. ft. ","12.2 lbs./hp ","17,700 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1959 Cessna 182B (Skylane) ","  ","Cont. O-470-L ","6 ","470 cu. in. ","230 ","Carbureted ","Constant Speed ","  ","  ","65 gallons ","80 ","About 14 gallons ","  ","2,650 lbs. ","N/A ","1,621 lbs. ","1,029 lbs. ","N/A ","120 lbs. ","12 quarts ","  ","160 KCAS ","139 KCAS ","54 Knots ","49 Knots ","1030 FPM ","15.2 lbs./sq. ft. ","11.5 lbs./hp ","20,000 ft ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1985 Cessna 182R 
(Skylane) ","  ","Cont. O-470-U ","6 ","470 cu. in ","230 ","Carbureted ","Constant Speed ","  ","  ","68 gallons 
Long Range Tanks: 92 gallons ","100 ","About 13 gallons ","  ","3,100/2950 lbs. ","N/A ","1,733 lbs. ","1,377 lbs. ","N/A ","200 lbs. ","13 quarts ","  ","175 KCAS ","140 KCAS ","54 KCAS ","49 KCAS ","865 FPM ","17.8 lbs./sq. ft. ","13.5 lbs./hp ","14,900 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"2004 Cessna 182T 
(Skylane) ","  ","Lyc. IO-540-AB1A5 ","6 ","541 cu. in. ","230 ","Fuel Injected ","Constant Speed ","  ","  ","92 gallons ","100 ","About 13 gallons ","  ","3,100/2950 lbs. ","N/A ","1,924 lbs. ","1,186 lbs. ","N/A ","200 lbs. ","9 quarts ","  ","171 KCAS ","136 KCAS ","54 KCAS ","49 KCAS ","925 FPM ","17.8 lbs./sq. ft. ","13.5 lbs./hp ","18,100 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
